epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,3260.77,0.3448,0.24157,0.80662,0.97267,1,0.9817,0.88451,0.48799,0.30623,0.81546,0.0001784,0.0001784,0.0001784
186,3278.18,0.34531,0.2407,0.8021,0.97259,1,0.98263,0.8901,0.48727,0.30252,0.81627,0.0001685,0.0001685,0.0001685
187,3296.41,0.36874,0.24287,0.79808,0.97254,1,0.983,0.88374,0.48665,0.30189,0.81635,0.0001586,0.0001586,0.0001586
188,3313.58,0.37148,0.25157,0.81735,0.97267,1,0.98258,0.884,0.48412,0.2975,0.81459,0.0001487,0.0001487,0.0001487
189,3331.1,0.36013,0.24479,0.79575,0.97261,1,0.98199,0.88319,0.48408,0.29657,0.81494,0.0001388,0.0001388,0.0001388
190,3348.96,0.35089,0.23414,0.80886,0.97286,1,0.98179,0.88045,0.48546,0.29456,0.81503,0.0001289,0.0001289,0.0001289
191,3366.31,0.32084,0.2264,0.78253,0.97302,1,0.98186,0.88458,0.48558,0.29538,0.8148,0.000119,0.000119,0.000119
192,3384.15,0.3112,0.21434,0.78593,0.97252,1,0.98262,0.88861,0.48432,0.30249,0.81575,0.0001091,0.0001091,0.0001091
193,3403.21,0.32113,0.2245,0.79379,0.97192,1,0.98304,0.89161,0.48044,0.30267,0.81596,9.92e-05,9.92e-05,9.92e-05
194,3421.24,0.32093,0.2175,0.77086,0.97142,1,0.98277,0.88955,0.47932,0.30294,0.81676,8.93e-05,8.93e-05,8.93e-05
195,3438.09,0.30936,0.21241,0.79124,0.97215,1,0.98122,0.88925,0.47818,0.30242,0.81653,7.94e-05,7.94e-05,7.94e-05
196,3456.48,0.33049,0.22784,0.77336,0.97181,1,0.98098,0.8895,0.48034,0.30219,0.81722,6.95e-05,6.95e-05,6.95e-05
197,3475.17,0.31759,0.21871,0.78457,0.97177,1,0.98076,0.88916,0.4785,0.30718,0.8173,5.96e-05,5.96e-05,5.96e-05
198,3492.01,0.33435,0.23376,0.78306,0.97178,1,0.98058,0.8885,0.47915,0.30319,0.81763,4.97e-05,4.97e-05,4.97e-05
199,3509.76,0.30238,0.21862,0.77658,0.97161,1,0.98055,0.88903,0.48108,0.30333,0.81787,3.98e-05,3.98e-05,3.98e-05
200,3527.2,0.30033,0.2114,0.76531,0.97205,1,0.98055,0.88738,0.48098,0.30194,0.81721,2.99e-05,2.99e-05,2.99e-05
