epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,768.302,0.54985,0.42685,0.84843,0.96537,0.99557,0.99149,0.86328,0.58258,0.41018,0.82101,0.0015842,0.0015842,0.0015842
44,784.791,0.58851,0.42436,0.84655,0.96345,1,0.99192,0.85669,0.59279,0.40989,0.82236,0.0015743,0.0015743,0.0015743
45,802.852,0.58318,0.42936,0.85052,0.9572,0.99854,0.99208,0.84309,0.62611,0.43075,0.83077,0.0015644,0.0015644,0.0015644
46,818.988,0.60709,0.42142,0.84773,0.97334,0.97801,0.99227,0.86261,0.5734,0.40258,0.82037,0.0015545,0.0015545,0.0015545
47,837.697,0.55642,0.40846,0.83479,0.96349,1,0.99047,0.84806,0.59684,0.41603,0.82223,0.0015446,0.0015446,0.0015446
48,854.668,0.56699,0.41055,0.84861,0.97298,1,0.99016,0.87369,0.54807,0.38837,0.81884,0.0015347,0.0015347,0.0015347
49,873.271,0.5514,0.40223,0.83506,0.97205,0.99107,0.98831,0.87443,0.53763,0.39828,0.8143,0.0015248,0.0015248,0.0015248
50,890.37,0.53974,0.41036,0.853,0.97384,0.99713,0.98687,0.86585,0.52714,0.38784,0.81027,0.0015149,0.0015149,0.0015149
51,908.732,0.53139,0.40123,0.84197,0.97327,1,0.98249,0.85562,0.55803,0.39771,0.81793,0.001505,0.001505,0.001505
52,926.022,0.54634,0.39398,0.84306,0.98084,0.99107,0.98031,0.84375,0.57201,0.40386,0.81542,0.0014951,0.0014951,0.0014951
53,943.488,0.56741,0.39463,0.8416,0.98228,0.98981,0.98615,0.8544,0.55361,0.39707,0.81093,0.0014852,0.0014852,0.0014852
54,961.532,0.5483,0.39446,0.83454,0.98228,0.98978,0.98333,0.85321,0.55778,0.39542,0.81434,0.0014753,0.0014753,0.0014753
55,978.715,0.53668,0.38538,0.83308,0.97142,0.99107,0.98141,0.85679,0.57195,0.39396,0.82413,0.0014654,0.0014654,0.0014654
56,995.983,0.53457,0.38132,0.8388,0.96546,0.99835,0.98233,0.85336,0.58005,0.40249,0.82541,0.0014555,0.0014555,0.0014555
57,1012.38,0.54402,0.38687,0.84001,0.97203,0.99107,0.98669,0.85407,0.57285,0.40305,0.82118,0.0014456,0.0014456,0.0014456
58,1031.08,0.52337,0.37676,0.84036,0.97385,0.99741,0.98165,0.86082,0.55349,0.3784,0.82144,0.0014357,0.0014357,0.0014357
59,1050.01,0.51107,0.3677,0.82951,0.97234,1,0.9786,0.86456,0.53148,0.38417,0.8192,0.0014258,0.0014258,0.0014258
60,1067.65,0.53896,0.3921,0.85432,0.97348,1,0.98993,0.85866,0.56662,0.38298,0.81973,0.0014159,0.0014159,0.0014159
61,1085.18,0.52165,0.36803,0.84495,0.981,1,0.99332,0.86469,0.56454,0.38151,0.82112,0.001406,0.001406,0.001406
62,1102.61,0.54916,0.37902,0.83907,0.97989,1,0.9936,0.86295,0.56812,0.37422,0.817,0.0013961,0.0013961,0.0013961
63,1119.88,0.53002,0.37969,0.84073,0.97773,0.99107,0.99254,0.87191,0.54894,0.3685,0.8155,0.0013862,0.0013862,0.0013862
64,1137.81,0.54777,0.36865,0.83651,0.97054,0.99107,0.98839,0.86473,0.56297,0.37861,0.81698,0.0013763,0.0013763,0.0013763
